iter	Passed	Remaining
0	2	2757
1	5	2728
2	7	2494
3	9	2430
4	11	2314
5	13	2231
6	15	2185
7	17	2148
8	19	2122
9	21	2108
10	23	2091
11	25	2077
12	27	2052
13	29	2043
14	30	2030
15	32	2016
16	34	2005
17	36	2009
18	38	2006
19	40	1996
20	42	1996
21	44	1993
22	47	1997
23	49	2011
24	52	2036
25	54	2035
26	56	2028
27	58	2022
28	60	2014
29	62	2007
30	64	2005
31	66	2003
32	68	2004
33	70	2002
34	72	1998
35	74	1993
36	76	1990
37	78	1984
38	80	1978
39	82	1973
40	84	1975
41	86	1973
42	88	1970
43	90	1970
44	92	1967
45	94	1964
46	96	1960
47	98	1957
48	100	1957
49	102	1954
50	104	1951
51	106	1947
52	108	1944
53	110	1939
54	112	1937
55	114	1935
56	116	1928
57	118	1924
58	120	1922
59	122	1918
60	124	1917
61	126	1916
62	129	1919
63	131	1923
64	133	1922
65	135	1919
66	137	1916
67	139	1915
68	141	1915
69	143	1911
70	146	1915
71	148	1914
72	150	1911
73	152	1908
74	154	1906
75	156	1903
76	158	1901
77	160	1902
78	162	1900
79	164	1897
80	167	1896
81	169	1892
82	171	1890
83	173	1888
84	175	1885
85	177	1889
86	179	1886
87	181	1882
88	183	1879
89	186	1883
90	188	1881
91	190	1877
92	192	1875
93	194	1873
94	196	1871
95	198	1869
96	201	1873
97	203	1873
98	205	1870
99	207	1870
100	209	1866
101	212	1866
102	214	1870
103	216	1867
104	218	1864
105	220	1862
106	222	1859
107	224	1856
108	226	1853
109	228	1850
110	230	1846
111	232	1843
112	234	1841
113	236	1840
114	238	1837
115	240	1835
116	242	1832
117	245	1833
118	247	1831
119	249	1830
120	251	1828
121	253	1824
122	255	1822
123	257	1817
124	259	1813
125	260	1809
126	262	1805
127	264	1801
128	266	1798
129	268	1794
130	270	1791
131	271	1788
132	273	1784
133	275	1781
134	277	1778
135	279	1775
136	281	1772
137	283	1769
138	285	1767
139	287	1764
140	289	1761
141	291	1759
142	292	1755
143	294	1753
144	296	1750
145	298	1747
146	301	1747
147	303	1744
148	305	1743
149	307	1740
150	309	1738
151	311	1736
152	313	1733
153	315	1730
154	317	1728
155	319	1727
156	321	1725
157	323	1723
158	325	1720
159	327	1716
160	328	1713
161	330	1711
162	332	1709
163	334	1706
164	336	1703
165	338	1700
166	340	1697
167	342	1694
168	343	1691
169	345	1687
170	348	1687
171	350	1686
172	352	1684
173	354	1681
174	356	1679
175	358	1677
176	360	1675
177	362	1673
178	364	1672
179	366	1670
180	368	1668
181	370	1665
182	372	1663
183	374	1661
184	376	1659
185	379	1659
186	381	1658
187	383	1656
188	385	1654
189	387	1651
190	389	1649
191	391	1647
192	393	1645
193	395	1643
194	397	1640
195	399	1638
196	401	1635
197	403	1633
198	405	1630
199	406	1627
200	408	1625
201	410	1623
202	412	1620
203	414	1617
204	416	1615
205	418	1613
206	420	1610
207	422	1608
208	424	1605
209	426	1602
210	428	1600
211	429	1598
212	431	1595
213	433	1593
214	435	1590
215	437	1588
216	439	1586
217	442	1585
218	444	1583
219	446	1581
220	448	1579
221	450	1577
222	451	1574
223	453	1571
224	455	1569
225	457	1567
226	459	1565
227	461	1563
228	463	1561
229	465	1558
230	467	1556
231	469	1554
232	471	1552
233	473	1549
234	475	1548
235	477	1546
236	479	1543
237	481	1542
238	483	1539
239	485	1536
240	487	1534
241	489	1534
242	491	1531
243	493	1529
244	495	1527
245	497	1525
246	499	1523
247	501	1520
248	503	1518
249	505	1516
250	507	1515
251	509	1513
252	511	1511
253	513	1509
254	515	1507
255	517	1504
256	520	1503
257	522	1502
258	524	1499
259	526	1497
260	528	1495
261	529	1492
262	531	1490
263	533	1487
264	536	1486
265	537	1484
266	539	1482
267	542	1480
268	543	1478
269	545	1475
270	547	1473
271	550	1472
272	552	1470
273	554	1468
274	556	1466
275	558	1464
276	560	1462
277	562	1460
278	564	1458
279	566	1457
280	568	1455
281	570	1453
282	572	1451
283	574	1448
284	576	1447
285	578	1444
286	580	1443
287	582	1441
288	585	1439
289	587	1437
290	589	1436
291	591	1434
292	593	1432
293	595	1430
294	598	1429
295	600	1427
296	602	1426
297	605	1427
298	608	1425
299	610	1424
300	612	1423
301	615	1422
302	617	1421
303	620	1419
304	622	1417
305	624	1415
306	626	1413
307	628	1411
308	630	1409
309	632	1408
310	634	1406
311	636	1404
312	638	1402
313	640	1400
314	642	1397
315	645	1396
316	647	1395
317	650	1394
318	652	1392
319	654	1390
320	656	1388
321	658	1386
322	660	1385
323	663	1384
324	665	1382
325	667	1380
326	669	1378
327	672	1377
328	674	1374
329	676	1373
330	679	1372
331	681	1370
332	683	1368
333	685	1366
334	687	1364
335	689	1362
336	692	1361
337	694	1360
338	696	1358
339	698	1356
340	700	1354
341	702	1352
342	704	1350
343	707	1349
344	710	1348
345	712	1347
346	714	1344
347	716	1342
348	718	1340
349	720	1338
350	722	1336
351	725	1335
352	727	1333
353	729	1330
354	731	1328
355	733	1326
356	735	1324
357	737	1321
358	739	1319
359	741	1317
360	743	1315
361	745	1313
362	747	1310
363	748	1308
364	750	1306
365	752	1303
366	754	1302
367	757	1300
368	759	1297
369	760	1295
370	762	1293
371	764	1291
372	766	1288
373	768	1286
374	770	1284
375	773	1282
376	775	1280
377	776	1278
378	778	1276
379	780	1274
380	783	1272
381	785	1270
382	787	1269
383	789	1267
384	791	1264
385	793	1262
386	795	1260
387	797	1258
388	799	1255
389	801	1254
390	803	1252
391	805	1249
392	807	1247
393	809	1245
394	811	1242
395	813	1240
396	815	1238
397	817	1236
398	819	1234
399	821	1232
400	823	1230
401	825	1227
402	827	1225
403	829	1223
404	831	1221
405	833	1219
406	836	1218
407	838	1216
408	840	1213
409	842	1211
410	844	1209
411	846	1207
412	848	1205
413	850	1203
414	852	1201
415	854	1199
416	856	1197
417	858	1194
418	860	1192
419	862	1190
420	864	1188
421	866	1186
422	868	1184
423	870	1181
424	872	1179
425	874	1177
426	876	1175
427	878	1173
428	880	1171
429	882	1169
430	884	1168
431	886	1165
432	888	1163
433	890	1161
434	892	1159
435	894	1157
436	897	1156
437	899	1153
438	901	1151
439	903	1149
440	905	1147
441	907	1145
442	909	1143
443	911	1141
444	913	1139
445	915	1137
446	917	1135
447	919	1133
448	921	1131
449	923	1129
450	926	1127
451	928	1125
452	930	1124
453	932	1121
454	934	1119
455	936	1117
456	939	1115
457	941	1113
458	943	1112
459	945	1110
460	947	1108
461	949	1106
462	952	1104
463	954	1102
464	956	1100
465	958	1098
466	960	1096
467	962	1094
468	964	1091
469	966	1089
470	968	1087
471	970	1085
472	972	1083
473	975	1081
474	977	1079
475	979	1077
476	981	1075
477	983	1073
478	985	1071
479	987	1069
480	989	1067
481	991	1065
482	993	1063
483	995	1061
484	997	1059
485	999	1057
486	1001	1054
487	1003	1052
488	1005	1050
489	1007	1048
490	1009	1046
491	1011	1044
492	1013	1042
493	1015	1040
494	1017	1038
495	1019	1036
496	1022	1034
497	1024	1032
498	1026	1030
499	1028	1028
500	1030	1026
501	1032	1023
502	1034	1021
503	1036	1020
504	1038	1018
505	1040	1016
506	1042	1014
507	1044	1011
508	1046	1009
509	1048	1007
510	1051	1005
511	1053	1003
512	1055	1001
513	1057	999
514	1059	997
515	1061	995
516	1063	993
517	1065	991
518	1067	989
519	1069	987
520	1071	985
521	1073	983
522	1075	981
523	1077	979
524	1079	976
525	1082	975
526	1084	973
527	1086	971
528	1088	969
529	1090	967
530	1092	965
531	1094	963
532	1097	961
533	1099	959
534	1101	957
535	1103	955
536	1105	953
537	1107	951
538	1109	949
539	1111	947
540	1114	945
541	1116	943
542	1118	941
543	1120	939
544	1122	937
545	1124	935
546	1126	933
547	1128	930
548	1131	929
549	1133	927
550	1134	924
551	1137	922
552	1139	920
553	1140	918
554	1142	916
555	1145	914
556	1147	912
557	1149	910
558	1151	908
559	1153	906
560	1155	903
561	1157	901
562	1159	900
563	1161	897
564	1163	895
565	1165	893
566	1167	891
567	1169	889
568	1171	887
569	1173	885
570	1175	883
571	1178	881
572	1180	879
573	1182	877
574	1184	875
575	1186	873
576	1188	871
577	1190	869
578	1192	867
579	1194	865
580	1196	862
581	1198	860
582	1200	858
583	1202	856
584	1204	854
585	1206	852
586	1209	850
587	1211	848
588	1213	846
589	1215	844
590	1217	842
591	1219	840
592	1221	838
593	1223	836
594	1225	834
595	1227	832
596	1229	829
597	1231	828
598	1234	826
599	1236	824
600	1238	822
601	1240	820
602	1242	817
603	1244	815
604	1246	813
605	1248	811
606	1250	809
607	1252	807
608	1254	805
609	1256	803
610	1258	801
611	1260	799
612	1262	797
613	1264	794
614	1266	792
615	1268	790
616	1270	788
617	1273	786
618	1275	784
619	1277	782
620	1278	780
621	1281	778
622	1282	776
623	1285	774
624	1287	772
625	1289	770
626	1291	768
627	1293	766
628	1295	764
629	1297	762
630	1300	760
631	1302	758
632	1304	756
633	1307	754
634	1309	752
635	1311	750
636	1313	748
637	1315	746
638	1317	744
639	1319	742
640	1322	740
641	1324	738
642	1326	736
643	1328	734
644	1330	732
645	1332	730
646	1334	728
647	1336	726
648	1338	724
649	1340	721
650	1342	719
651	1344	717
652	1346	715
653	1349	713
654	1350	711
655	1352	709
656	1355	707
657	1357	705
658	1359	703
659	1361	701
660	1363	699
661	1365	697
662	1367	695
663	1369	693
664	1371	691
665	1373	688
666	1375	686
667	1377	684
668	1380	682
669	1382	680
670	1384	678
671	1386	676
672	1388	674
673	1390	672
674	1392	670
675	1394	668
676	1396	666
677	1398	664
678	1400	662
679	1402	660
680	1404	657
681	1406	655
682	1408	653
683	1410	651
684	1412	649
685	1414	647
686	1416	645
687	1418	643
688	1420	641
689	1422	639
690	1424	636
691	1426	634
692	1428	632
693	1430	630
694	1432	628
695	1434	626
696	1436	624
697	1438	622
698	1440	620
699	1442	618
700	1444	616
701	1446	614
702	1448	611
703	1450	609
704	1452	607
705	1454	605
706	1456	603
707	1458	601
708	1460	599
709	1462	597
710	1464	595
711	1466	593
712	1468	591
713	1470	588
714	1473	587
715	1475	585
716	1477	583
717	1479	581
718	1481	579
719	1484	577
720	1485	574
721	1487	572
722	1489	570
723	1491	568
724	1493	566
725	1495	564
726	1498	562
727	1500	560
728	1502	558
729	1504	556
730	1506	554
731	1509	552
732	1511	550
733	1513	548
734	1515	546
735	1517	544
736	1519	542
737	1521	540
